OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
7749,2025/11/27,26450.,A,WA,ALW,WALLA WALLA RGNL,WALLA WALLA,US,PU,PU,02/20,46.08532111,-118.29167583,46.09976616,-118.27648936,6527,150,CONC,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2018/01/18,84,107,164,,189065.3046875,5870.89505413222
7751,2025/11/27,26454.,A,WA,2S4,WARDEN,WARDEN,US,PU,PU,17/35,46.9696375,-119.06561194,46.96199294,-119.06705147,2811,60,ASPH,FAIR,NONE,,,,,,MED,STATE,2003/04/04,,,,,33633.2578125,2567.99023706896
7753,2025/11/27,26457.,A,WA,2S5,WATERVILLE,WATERVILLE,US,PU,PU,07/25,47.65602444,-120.06250527,47.65598388,-120.05042027,2978,50,ASPH,GOOD,NONE,,,,,,LOW,STATE,2002/06/10,5,,,,30475.5546875,2735.93165615916
7754,2025/11/27,26461.,A,WA,EAT,PANGBORN MEML,WENATCHEE,US,PU,PU,12/30,47.40574625,-120.21727163,47.39217116,-120.19729566,7000,150,ASPH,GOOD,NONE,,,,,,HIGH,3RD PARTY SURVEY,2016/07/29,116,192,,,212775.78125,6437.138066651
7755,2025/11/27,26463.,A,WA,14S,WESTPORT,WESTPORT,US,PU,PU,12/30,46.89926333,-124.10392361,46.89463805,-124.09756722,2318,50,ASPH,GOOD,NONE,,,,,,MED,,,,,,,23046.734375,2111.92227554614
7757,2025/11/27,26471.,A,WA,2S8,WILBUR,WILBUR,US,PU,PU,02/20,47.74913858,-118.74854911,47.75764261,-118.73927547,3851,60,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2016/01/21,15.5,,,,47455.2109375,3546.25039209985
7758,2025/11/27,26477.,A,WA,S52,METHOW VALLEY STATE,WINTHROP,US,PU,PU,13/31,48.43074305,-120.15156777,48.41915305,-120.14020444,5049,75,ASPH,EXCELLENT,NONE,,,,,,MED,STATE,2002/06/13,30,,,,79824.4375,4707.86280070949
7759,2025/11/27,26478.1,A,WA,W27,WOODLAND STATE,WOODLAND,US,PU,PU,14/32,45.90199722,-122.73929444,45.89636777,-122.73572638,2245,25,ASPH,GOOD,NONE,,,,,,LOW,,,,,,,10763.5234375,1990.25773793601
7760,2025/11/27,26480.,A,WA,YKM,YAKIMA AIR TRML/MCALLISTER FLD,YAKIMA,US,PU,PU,04/22,46.56390036,-120.54813416,46.56917438,-120.53494702,3835,150,ASPH,POOR,PFC,,,,,,MED,3RD PARTY SURVEY,2018/11/13,70,80,120,,113007.0703125,3529.67801372275
7761,2025/11/27,26480.,A,WA,YKM,YAKIMA AIR TRML/MCALLISTER FLD,YAKIMA,US,PU,PU,09/27,46.5725518,-120.55953866,46.56542491,-120.53113122,7604,150,ASPH,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2018/11/13,95,160,220,550,224103.890625,6865.7234110489
