OBJECTID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,CITY,COUNTRY_CODE,REGION_CODE,ADO_CODE,STATE_NAME,COUNTY_NAME,COUNTY_ASSOC_STATE,ARPT_NAME,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,SURVEY_METHOD_CODE,ELEV,ELEV_METHOD_CODE,MAG_VARN,MAG_HEMIS,MAG_VARN_YEAR,TPA,CHART_NAME,DIST_CITY_TO_AIRPORT,DIRECTION_CODE,ACREAGE,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,FSS_ON_ARPT_FLAG,FSS_ID,FSS_NAME,PHONE_NO,TOLL_FREE_NO,ALT_FSS_ID,ALT_FSS_NAME,ALT_TOLL_FREE_NO,NOTAM_ID,NOTAM_FLAG,ACTIVATION_DATE,ARPT_STATUS,FAR_139_TYPE_CODE,FAR_139_CARRIER_SER_CODE,ARFF_CERT_TYPE_DATE,NASP_CODE,ASP_ANLYS_DTRM_CODE,CUST_FLAG,LNDG_RIGHTS_FLAG,JOINT_USE_FLAG,MIL_LNDG_FLAG,INSPECT_METHOD_CODE,INSPECTOR_CODE,LAST_INSPECTION,LAST_INFO_RESPONSE,FUEL_TYPES,AIRFRAME_REPAIR_SER_CODE,PWR_PLANT_REPAIR_SER,BOTTLED_OXY_TYPE,BULK_OXY_TYPE,LGT_SKED,BCN_LGT_SKED,TWR_TYPE_CODE,SEG_CIRCLE_MKR_FLAG,BCN_LENS_COLOR,LNDG_FEE_FLAG,MEDICAL_USE_FLAG,ARPT_PSN_SOURCE,POSITION_SRC_DATE,ARPT_ELEV_SOURCE,ELEVATION_SRC_DATE,CONTR_FUEL_AVBL,TRNS_STRG_BUOY_FLAG,TRNS_STRG_HGR_FLAG,TRNS_STRG_TIE_FLAG,OTHER_SERVICES,WIND_INDCR_FLAG,ICAO_ID,MIN_OP_NETWORK,USER_FEE_FLAG,CTA,x,y
13063,2025/11/27,19559.,A,OR,28U,OWYHEE,US,ANM,SEA,OREGON,MALHEUR,OR,OWYHEE RESERVOIR STATE,PU,PU,43,25,29.4,N,43.42483333,117,20,44.4,W,-117.34566666,E,2680,E,17,E,1985,,KLAMATH FALLS,25,SW,10,ZLC,ZCU,SALT LAKE CITY,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1958/10,O,,,,,NOT ANALYZED,,,,,S,S,2023/09/25,,,NONE,NONE,NONE,NONE,,,NON-ATCT,N,,N,,FAA-EST,2010/09/29,,,,,,Y,,Y,,N,,,-13062859.8594,5376861.0001
13065,2025/11/27,19560.5,A,OR,PFC,PACIFIC CITY,US,ANM,SEA,OREGON,TILLAMOOK,OR,PACIFIC CITY STATE,PU,PU,45,11,57.7,N,45.19936111,123,57,42.82,W,-123.96189444,E,10,E,19,E,1985,,SEATTLE,1,S,15,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1951/07,O,,,,,NOT ANALYZED,N,N,N,N,S,S,2024/08/09,1988/07/26,,,,NONE,NONE,,,NON-ATCT,N,,N,,,,FAA OE/AAA,2015/10/28,,,,Y,,Y,KPFC,N,,,-13799374.9668,5652961.6061
13066,2025/11/27,19561.1,A,OR,22S,PAISLEY,US,ANM,SEA,OREGON,LAKE,OR,PAISLEY,PU,PU,42,43,4.7,N,42.71797222,120,33,46,W,-120.56277777,E,4395,E,18,E,1985,,KLAMATH FALLS,3,NW,340,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1961/07,O,,,,,NOT ANALYZED,,,N,,S,S,2023/08/08,,,NONE,NONE,NONE,NONE,,SS-SR,NON-ATCT,Y,WG,N,,FAA-EST,2010/09/08,,,,,,Y,,Y,,N,,,-13420987.03,5269142.3917
13067,2025/11/27,19562.,A,OR,PDT,PENDLETON,US,ANM,SEA,OREGON,UMATILLA,OR,EASTERN OREGON RGNL AT PENDLETON,PU,PU,45,41,42.344,N,45.69509555,118,50,36.128,W,-118.84336888,E,1494,S,16,E,2005,,SEATTLE,3,NW,2273,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,PDT,Y,1937/10,O,,,,NGPY3,NOT ANALYZED,N,N,N,Y,F,F,2016/02/24,,"100LL,A1+,MOGAS",MAJOR,MAJOR,,,SEE RMK,SS-SR,ATCT,Y,WG,N,,3RD PARTY SURVEY,2023/11/14,3RD PARTY SURVEY,2023/11/14,,,Y,Y,"AFRT,AGRI,CHTR,INSTR,RNTL,SURV",Y-L,KPDT,N,,,-13229583.3079,5731621.9755
13071,2025/11/27,19566.1,A,OR,24S,PINEHURST,US,ANM,SEA,OREGON,JACKSON,OR,PINEHURST STATE,PU,PU,42,6,36.7,N,42.11019444,122,22,59.2,W,-122.38311111,E,3643,E,18,E,1985,,KLAMATH FALLS,1,SW,103,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1955/02,O,,,,,NOT ANALYZED,,,,,S,S,2023/12/13,,,NONE,NONE,NONE,NONE,,,NON-ATCT,Y,,N,,FAA-EST,2010/09/08,ADO,2006/06/02,,,,Y,,Y,,N,,,-13623625.6105,5177500.3558
13072,2025/11/27,19570.,A,OR,4S9,PORTLAND-MULINO,US,ANM,SEA,OREGON,CLACKAMAS,OR,MULINO STATE,PU,PU,45,12,59.6,N,45.21655555,122,35,24.7,W,-122.59019444,E,259.9,S,19,E,1985,,SEATTLE,20,S,275,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1948/06,O,,,,NGY,NOT ANALYZED,N,N,N,N,S,S,2024/09/12,,100LL,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,2015/05/19,3RD PARTY SURVEY,2015/05/19,,,,Y,"INSTR,PAJA,RNTL",Y-L,,N,,,-13646678.0213,5655678.3974
13080,2025/11/27,19571.,A,OR,PDX,PORTLAND,US,ANM,SEA,OREGON,MULTNOMAH,OR,PORTLAND INTL,PU,PU,45,35,19.3519,N,45.58870886,122,35,48.7299,W,-122.59686941,E,30.8,S,16,E,2010,,SEATTLE,4,NE,3000,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,PDX,Y,1940/03,O,I E,S,1973/05,NGPY,NO OBJECTION,N,Y,N,Y,F,F,2021/09/10,,"100LL,A",MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,ATCT,N,WG,Y,,3RD PARTY SURVEY,2009/10/30,3RD PARTY SURVEY,2009/10/30,,,Y,Y,"AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KPDX,N,,,-13647421.0756,5714682.7264
13081,2025/11/27,19571.5,A,OR,HIO,PORTLAND,US,ANM,SEA,OREGON,WASHINGTON,OR,PORTLAND-HILLSBORO,PU,PU,45,32,31.6383,N,45.54212175,122,57,2.5988,W,-122.95072188,E,207.9,S,16,E,2010,,SEATTLE,15,SW,900,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,HIO,Y,1938/12,O,,,,NGY3,NO OBJECTION,N,Y,N,Y,S,S,2022/09/13,,"100LL,A",MAJOR,MAJOR,LOW,HIGH/LOW,SEE RMK,SS-SR,ATCT,N,WG,Y,,3RD PARTY SURVEY,2017/10/03,3RD PARTY SURVEY,2017/10/03,,,Y,Y,"AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KHIO,Y,,,-13686811.7523,5707275.0779
13082,2025/11/27,19572.,A,OR,TTD,PORTLAND,US,ANM,SEA,OREGON,MULTNOMAH,OR,PORTLAND-TROUTDALE,PU,PU,45,32,57.7,N,45.54936111,122,24,4.5,W,-122.40125,E,38.9,S,16,E,2015,,SEATTLE,10,E,284,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,TTD,Y,1939/02,O,,,,NGY3,NOT ANALYZED,N,N,N,Y,S,S,2023/09/28,,"100LL,A",MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,ATCT,Y,WG,Y,,OWNER,2014/09/20,FAA,2014/12/03,,,Y,Y,"AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KTTD,N,,,-13625644.8225,5708425.7795
13086,2025/11/27,19573.5,A,OR,6S6,POWERS,US,ANM,SEA,OREGON,COOS,OR,POWERS,PU,PU,42,52,9.7,N,42.86936111,124,3,32.5,W,-124.05902777,E,326,E,18,E,1985,,KLAMATH FALLS,1,SE,77,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1961/01,O,,,,GY,NO OBJECTION,N,N,N,Y,S,S,2024/08/30,,,NONE,NONE,NONE,NONE,,,NON-ATCT,N,,N,,FAA-EST,2011/12/08,,,,,,Y,,Y,,N,,,-13810187.7997,5292108.3681
